#
# $FreeBSD$
#
#	Name:             eucCN-80 to Unicode table (complete, hex format)
#	Based on the GB2312.TXT
#
#	General notes:
#
#	The following algorithms can be used to change the hex form
#		of GB2312 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#
0xA1A1	0x3000	# IDEOGRAPHIC SPACE
0xB3AC	0x8D85	# <CJK>
0xB3AD	0x6284	# <CJK>
0xB3AE	0x949E	# <CJK>
0xB3AF	0x671D	# <CJK>
0xB3B0	0x5632	# <CJK>
0xB3B1	0x6F6E	# <CJK>
0xB3B2	0x5DE2	# <CJK>
0xB3B3	0x5435	# <CJK>
0xB3B4	0x7092	# <CJK>
0xB3B5	0x8F66	# <CJK>
0xB3B6	0x626F	# <CJK>
0xB3B7	0x64A4	# <CJK>
0xB3B8	0x63A3	# <CJK>
0xB3B9	0x5F7B	# <CJK>
0xB3BA	0x6F88	# <CJK>
0xB3BB	0x90F4	# <CJK>
0xB3BC	0x81E3	# <CJK>
0xB3BD	0x8FB0	# <CJK>
0xB3BE	0x5C18	# <CJK>
0xB3BF	0x6668	# <CJK>
0xB3C0	0x5FF1	# <CJK>
0xB3C1	0x6C89	# <CJK>
0xB3C2	0x9648	# <CJK>
0xB3C3	0x8D81	# <CJK>
0xB3C4	0x886C	# <CJK>
0xB3C5	0x6491	# <CJK>
0xB3C6	0x79F0	# <CJK>
0xB3C7	0x57CE	# <CJK>
0xB3C8	0x6A59	# <CJK>
0xB3C9	0x6210	# <CJK>
0xB3CA	0x5448	# <CJK>
0xB3CB	0x4E58	# <CJK>
0xB3CC	0x7A0B	# <CJK>
0xB3CD	0x60E9	# <CJK>
0xB3CE	0x6F84	# <CJK>
0xB3CF	0x8BDA	# <CJK>
0xB3D0	0x627F	# <CJK>
0xB3D1	0x901E	# <CJK>
0xB3D2	0x9A8B	# <CJK>
0xB3D3	0x79E4	# <CJK>
0xB3D4	0x5403	# <CJK>
0xB3D5	0x75F4	# <CJK>
0xB3D6	0x6301	# <CJK>
0xB3D7	0x5319	# <CJK>
0xB3D8	0x6C60	# <CJK>
0xB3D9	0x8FDF	# <CJK>
0xB3DA	0x5F1B	# <CJK>
0xB3DB	0x9A70	# <CJK>
0xB3DC	0x803B	# <CJK>
0xB3DD	0x9F7F	# <CJK>
0xB3DE	0x4F88	# <CJK>
0xB3DF	0x5C3A	# <CJK>
0xB3E0	0x8D64	# <CJK>
0xB3E1	0x7FC5	# <CJK>
0xB3E2	0x65A5	# <CJK>
0xB3E3	0x70BD	# <CJK>
0xB3E4	0x5145	# <CJK>
0xB3E5	0x51B2	# <CJK>
0xB3E6	0x866B	# <CJK>
0xB3E7	0x5D07	# <CJK>
0xB3E8	0x5BA0	# <CJK>
0xB3E9	0x62BD	# <CJK>
0xB3EA	0x916C	# <CJK>
0xB3EB	0x7574	# <CJK>
0xB3EC	0x8E0C	# <CJK>
0xB3ED	0x7A20	# <CJK>
0xB3EE	0x6101	# <CJK>
0xB3EF	0x7B79	# <CJK>
0xB3F0	0x4EC7	# <CJK>
0xB3F1	0x7EF8	# <CJK>
0xB3F2	0x7785	# <CJK>
0xB3F3	0x4E11	# <CJK>
0xB3F4	0x81ED	# <CJK>
0xB3F5	0x521D	# <CJK>
0xB3F6	0x51FA	# <CJK>
0xB3F7	0x6A71	# <CJK>
0xB3F8	0x53A8	# <CJK>
0xB3F9	0x8E87	# <CJK>
0xB3FA	0x9504	# <CJK>
0xB3FB	0x96CF	# <CJK>
0xB3FC	0x6EC1	# <CJK>
0xB3FD	0x9664	# <CJK>
0xB3FE	0x695A	# <CJK>
0xB4A1	0x7840	# <CJK>
0xB4A2	0x50A8	# <CJK>
0xB4A3	0x77D7	# <CJK>
0xB4A4	0x6410	# <CJK>
0xB4A5	0x89E6	# <CJK>
0xB4A6	0x5904	# <CJK>
0xB4A7	0x63E3	# <CJK>
0xB4A8	0x5DDD	# <CJK>
0xB4A9	0x7A7F	# <CJK>
0xB4AA	0x693D	# <CJK>
0xB4AB	0x4F20	# <CJK>
0xB4AC	0x8239	# <CJK>
0xB4AD	0x5598	# <CJK>
0xB4AE	0x4E32	# <CJK>
0xB4AF	0x75AE	# <CJK>
0xB4B0	0x7A97	# <CJK>
0xB4B1	0x5E62	# <CJK>
0xB4B2	0x5E8A	# <CJK>
0xB4B3	0x95EF	# <CJK>
0xB4B4	0x521B	# <CJK>
0xB4B5	0x5439	# <CJK>
0xB4B6	0x708A	# <CJK>
0xB4B7	0x6376	# <CJK>
0xB4B8	0x9524	# <CJK>
0xB4B9	0x5782	# <CJK>
0xB4BA	0x6625	# <CJK>
0xB4BB	0x693F	# <CJK>
0xB4BC	0x9187	# <CJK>
0xB4BD	0x5507	# <CJK>
0xB4BE	0x6DF3	# <CJK>
0xB4BF	0x7EAF	# <CJK>
0xB4C0	0x8822	# <CJK>
0xB4C1	0x6233	# <CJK>
0xB4C2	0x7EF0	# <CJK>
0xB4C3	0x75B5	# <CJK>
0xB4C4	0x8328	# <CJK>
0xB4C5	0x78C1	# <CJK>
0xB4C6	0x96CC	# <CJK>
0xB4C7	0x8F9E	# <CJK>
0xB4C8	0x6148	# <CJK>
0xB4C9	0x74F7	# <CJK>
0xB4CA	0x8BCD	# <CJK>
0xB4CB	0x6B64	# <CJK>
0xB4CC	0x523A	# <CJK>
0xB4CD	0x8D50	# <CJK>
0xB4CE	0x6B21	# <CJK>
0xB4CF	0x806A	# <CJK>
0xB4D0	0x8471	# <CJK>
0xB4D1	0x56F1	# <CJK>
0xB4D2	0x5306	# <CJK>
0xB4D3	0x4ECE	# <CJK>
0xB4D4	0x4E1B	# <CJK>
0xB4D5	0x51D1	# <CJK>
0xB4D6	0x7C97	# <CJK>
0xB4D7	0x918B	# <CJK>
0xB4D8	0x7C07	# <CJK>
0xB4D9	0x4FC3	# <CJK>
0xB4DA	0x8E7F	# <CJK>
0xB4DB	0x7BE1	# <CJK>
0xB4DC	0x7A9C	# <CJK>
0xB4DD	0x6467	# <CJK>
0xB4DE	0x5D14	# <CJK>
0xB4DF	0x50AC	# <CJK>
0xB4E0	0x8106	# <CJK>
0xB4E1	0x7601	# <CJK>
0xB4E2	0x7CB9	# <CJK>
0xB4E3	0x6DEC	# <CJK>
0xB4E4	0x7FE0	# <CJK>
0xB4E5	0x6751	# <CJK>
0xB4E6	0x5B58	# <CJK>
0xB4E7	0x5BF8	# <CJK>
0xB4E8	0x78CB	# <CJK>
0xB4E9	0x64AE	# <CJK>
0xB4EA	0x6413	# <CJK>
0xB4EB	0x63AA	# <CJK>
0xB4EC	0x632B	# <CJK>
0xB4ED	0x9519	# <CJK>
0xB4EE	0x642D	# <CJK>
0xB4EF	0x8FBE	# <CJK>
0xB4F0	0x7B54	# <CJK>
0xB4F1	0x7629	# <CJK>
0xB4F2	0x6253	# <CJK>
0xB4F3	0x5927	# <CJK>
0xB4F4	0x5446	# <CJK>
0xB4F5	0x6B79	# <CJK>
0xB4F6	0x50A3	# <CJK>
0xB4F7	0x6234	# <CJK>
0xB4F8	0x5E26	# <CJK>
0xB4F9	0x6B86	# <CJK>
0xB4FA	0x4EE3	# <CJK>
0xB4FB	0x8D37	# <CJK>
0xB4FC	0x888B	# <CJK>
0xB4FD	0x5F85	# <CJK>
0xB4FE	0x902E	# <CJK>
0xB5A1	0x6020	# <CJK>
0xB5A2	0x803D	# <CJK>
0xB5A3	0x62C5	# <CJK>
0xB5A4	0x4E39	# <CJK>
0xB5A5	0x5355	# <CJK>
0xB5A6	0x90F8	# <CJK>
0xB5A7	0x63B8	# <CJK>
0xB5A8	0x80C6	# <CJK>
0xB5A9	0x65E6	# <CJK>
0xB5AA	0x6C2E	# <CJK>
0xB5AB	0x4F46	# <CJK>
0xB5AC	0x60EE	# <CJK>
0xB5AD	0x6DE1	# <CJK>
0xB5AE	0x8BDE	# <CJK>
0xB5AF	0x5F39	# <CJK>
0xB5B0	0x86CB	# <CJK>
0xB5B1	0x5F53	# <CJK>
0xB5B2	0x6321	# <CJK>
0xB5B3	0x515A	# <CJK>
0xB5B4	0x8361	# <CJK>
0xB5B5	0x6863	# <CJK>
0xB5B6	0x5200	# <CJK>
0xB5B7	0x6363	# <CJK>
0xB5B8	0x8E48	# <CJK>
0xB5B9	0x5012	# <CJK>
0xB5BA	0x5C9B	# <CJK>
0xB5BB	0x7977	# <CJK>
0xB5BC	0x5BFC	# <CJK>
0xB5BD	0x5230	# <CJK>
0xB5BE	0x7A3B	# <CJK>
0xB5BF	0x60BC	# <CJK>
0xB5C0	0x9053	# <CJK>
0xB5C1	0x76D7	# <CJK>
0xB5C2	0x5FB7	# <CJK>
0xB5C3	0x5F97	# <CJK>
0xB5C4	0x7684	# <CJK>
0xB5C5	0x8E6C	# <CJK>
0xB5C6	0x706F	# <CJK>
0xB5C7	0x767B	# <CJK>
0xB5C8	0x7B49	# <CJK>
0xB5C9	0x77AA	# <CJK>
0xB5CA	0x51F3	# <CJK>
0xB5CB	0x9093	# <CJK>
0xB5CC	0x5824	# <CJK>
0xB5CD	0x4F4E	# <CJK>
0xB5CE	0x6EF4	# <CJK>
0xB5CF	0x8FEA	# <CJK>
0xB5D0	0x654C	# <CJK>
0xB5D1	0x7B1B	# <CJK>
0xB5D2	0x72C4	# <CJK>
0xB5D3	0x6DA4	# <CJK>
0xB5D4	0x7FDF	# <CJK>
0xB5D5	0x5AE1	# <CJK>
0xB5D6	0x62B5	# <CJK>
0xB5D7	0x5E95	# <CJK>
0xB5D8	0x5730	# <CJK>
0xB5D9	0x8482	# <CJK>
0xB5DA	0x7B2C	# <CJK>
0xB5DB	0x5E1D	# <CJK>
0xB5DC	0x5F1F	# <CJK>
0xB5DD	0x9012	# <CJK>
0xB5DE	0x7F14	# <CJK>
0xB5DF	0x98A0	# <CJK>
0xB5E0	0x6382	# <CJK>
0xB5E1	0x6EC7	# <CJK>
0xB5E2	0x7898	# <CJK>
0xB5E3	0x70B9	# <CJK>
0xB5E4	0x5178	# <CJK>
0xB5E5	0x975B	# <CJK>
0xB5E6	0x57AB	# <CJK>
0xB5E7	0x7535	# <CJK>
0xB5E8	0x4F43	# <CJK>
0xB5E9	0x7538	# <CJK>
0xB5EA	0x5E97	# <CJK>
0xB5EB	0x60E6	# <CJK>
0xB5EC	0x5960	# <CJK>
0xB5ED	0x6DC0	# <CJK>
0xB5EE	0x6BBF	# <CJK>
0xB5EF	0x7889	# <CJK>
0xB5F0	0x53FC	# <CJK>
0xB5F1	0x96D5	# <CJK>
0xB5F2	0x51CB	# <CJK>
0xB5F3	0x5201	# <CJK>
0xB5F4	0x6389	# <CJK>
0xB5F5	0x540A	# <CJK>
0xB5F6	0x9493	# <CJK>
0xB5F7	0x8C03	# <CJK>
0xB5F8	0x8DCC	# <CJK>
0xB5F9	0x7239	# <CJK>
0xB5FA	0x789F	# <CJK>
0xB5FB	0x8776	# <CJK>
0xB5FC	0x8FED	# <CJK>
0xB5FD	0x8C0D	# <CJK>
0xB5FE	0x53E0	# <CJK>
0xB6A1	0x4E01	# <CJK>
0xB6A2	0x76EF	# <CJK>
0xB6A3	0x53EE	# <CJK>
0xB6A4	0x9489	# <CJK>
0xB6A5	0x9876	# <CJK>
0xB6A6	0x9F0E	# <CJK>
0xB6A7	0x952D	# <CJK>
0xB6A8	0x5B9A	# <CJK>
0xB6A9	0x8BA2	# <CJK>
0xB6AA	0x4E22	# <CJK>
0xB6AB	0x4E1C	# <CJK>
0xB6AC	0x51AC	# <CJK>
0xB6AD	0x8463	# <CJK>
0xB6AE	0x61C2	# <CJK>
0xB6AF	0x52A8	# <CJK>
0xB6B0	0x680B	# <CJK>
0xB6B1	0x4F97	# <CJK>
0xB6B2	0x606B	# <CJK>
0xB6B3	0x51BB	# <CJK>
0xB6B4	0x6D1E	# <CJK>
0xB6B5	0x515C	# <CJK>
0xB6B6	0x6296	# <CJK>
0xB6B7	0x6597	# <CJK>
0xB6B8	0x9661	# <CJK>
0xB6B9	0x8C46	# <CJK>
0xB6BA	0x9017	# <CJK>
0xB6BB	0x75D8	# <CJK>
0xB6BC	0x90FD	# <CJK>
0xB6BD	0x7763	# <CJK>
0xB6BE	0x6BD2	# <CJK>
0xB6BF	0x728A	# <CJK>
0xB6C0	0x72EC	# <CJK>
0xB6C1	0x8BFB	# <CJK>
0xB6C2	0x5835	# <CJK>
0xB6C3	0x7779	# <CJK>
0xB6C4	0x8D4C	# <CJK>
0xB6C5	0x675C	# <CJK>
0xB6C6	0x9540	# <CJK>
0xB6C7	0x809A	# <CJK>
0xB6C8	0x5EA6	# <CJK>
0xB6C9	0x6E21	# <CJK>
0xB6CA	0x5992	# <CJK>
0xB6CB	0x7AEF	# <CJK>
0xB6CC	0x77ED	# <CJK>
0xB6CD	0x953B	# <CJK>
0xB6CE	0x6BB5	# <CJK>
0xB6CF	0x65AD	# <CJK>
0xB6D0	0x7F0E	# <CJK>
0xB6D1	0x5806	# <CJK>
0xB6D2	0x5151	# <CJK>
0xB6D3	0x961F	# <CJK>
0xB6D4	0x5BF9	# <CJK>
0xB6D5	0x58A9	# <CJK>
0xB6D6	0x5428	# <CJK>
0xB6D7	0x8E72	# <CJK>
0xB6D8	0x6566	# <CJK>
0xB6D9	0x987F	# <CJK>
0xB6DA	0x56E4	# <CJK>
0xB6DB	0x949D	# <CJK>
0xB6DC	0x76FE	# <CJK>
0xB6DD	0x9041	# <CJK>
0xB6DE	0x6387	# <CJK>
0xB6DF	0x54C6	# <CJK>
0xB6E0	0x591A	# <CJK>
0xB6E1	0x593A	# <CJK>
0xB6E2	0x579B	# <CJK>
0xB6E3	0x8EB2	# <CJK>
0xB6E4	0x6735	# <CJK>
0xB6E5	0x8DFA	# <CJK>
0xB6E6	0x8235	# <CJK>
0xB6E7	0x5241	# <CJK>
0xB6E8	0x60F0	# <CJK>
0xB6E9	0x5815	# <CJK>
0xB6EA	0x86FE	# <CJK>
0xB6EB	0x5CE8	# <CJK>
0xB6EC	0x9E45	# <CJK>
0xB6ED	0x4FC4	# <CJK>
0xB6EE	0x989D	# <CJK>
0xB6EF	0x8BB9	# <CJK>
0xB6F0	0x5A25	# <CJK>
0xB6F1	0x6076	# <CJK>
0xB6F2	0x5384	# <CJK>
0xB6F3	0x627C	# <CJK>
0xB6F4	0x904F	# <CJK>
0xB6F5	0x9102	# <CJK>
0xB6F6	0x997F	# <CJK>
0xB6F7	0x6069	# <CJK>
0xB6F8	0x800C	# <CJK>
0xB6F9	0x513F	# <CJK>
0xB6FA	0x8033	# <CJK>
0xB6FB	0x5C14	# <CJK>
0xB6FC	0x9975	# <CJK>
0xB6FD	0x6D31	# <CJK>
0xB6FE	0x4E8C	# <CJK>
0xB7A1	0x8D30	# <CJK>
0xB7A2	0x53D1	# <CJK>
0xB7A3	0x7F5A	# <CJK>
0xB7A4	0x7B4F	# <CJK>
0xB7A5	0x4F10	# <CJK>
0xB7A6	0x4E4F	# <CJK>
0xB7A7	0x9600	# <CJK>
0xB7A8	0x6CD5	# <CJK>
0xB7A9	0x73D0	# <CJK>
0xB7AA	0x85E9	# <CJK>
0xB7AB	0x5E06	# <CJK>
0xB7AC	0x756A	# <CJK>
0xB7AD	0x7FFB	# <CJK>
0xB7AE	0x6A0A	# <CJK>
0xB7AF	0x77FE	# <CJK>
0xB7B0	0x9492	# <CJK>
0xB7B1	0x7E41	# <CJK>
0xB7B2	0x51E1	# <CJK>
0xB7B3	0x70E6	# <CJK>
0xB7B4	0x53CD	# <CJK>
0xB7B5	0x8FD4	# <CJK>
0xB7B6	0x8303	# <CJK>
0xB7B7	0x8D29	# <CJK>
0xB7B8	0x72AF	# <CJK>
0xB7B9	0x996D	# <CJK>
0xB7BA	0x6CDB	# <CJK>
0xB7BB	0x574A	# <CJK>
0xB7BC	0x82B3	# <CJK>
0xB7BD	0x65B9	# <CJK>
0xB7BE	0x80AA	# <CJK>
0xB7BF	0x623F	# <CJK>
0xB7C0	0x9632	# <CJK>
0xB7C1	0x59A8	# <CJK>
0xB7C2	0x4EFF	# <CJK>
0xB7C3	0x8BBF	# <CJK>
0xB7C4	0x7EBA	# <CJK>
0xB7C5	0x653E	# <CJK>
0xB7C6	0x83F2	# <CJK>
0xB7C7	0x975E	# <CJK>
0xB7C8	0x5561	# <CJK>
0xB7C9	0x98DE	# <CJK>
0xB7CA	0x80A5	# <CJK>
0xB7CB	0x532A	# <CJK>
0xB7CC	0x8BFD	# <CJK>
0xB7CD	0x5420	# <CJK>
0xB7CE	0x80BA	# <CJK>
0xB7CF	0x5E9F	# <CJK>
0xB7D0	0x6CB8	# <CJK>
0xB7D1	0x8D39	# <CJK>
0xB7D2	0x82AC	# <CJK>
0xB7D3	0x915A	# <CJK>
0xB7D4	0x5429	# <CJK>
0xB7D5	0x6C1B	# <CJK>
0xB7D6	0x5206	# <CJK>
0xB7D7	0x7EB7	# <CJK>
0xB7D8	0x575F	# <CJK>
0xB7D9	0x711A	# <CJK>
0xB7DA	0x6C7E	# <CJK>
0xB7DB	0x7C89	# <CJK>
0xB7DC	0x594B	# <CJK>
0xB7DD	0x4EFD	# <CJK>
0xB7DE	0x5FFF	# <CJK>
0xB7DF	0x6124	# <CJK>
0xB7E0	0x7CAA	# <CJK>
0xB7E1	0x4E30	# <CJK>
0xB7E2	0x5C01	# <CJK>
0xB7E3	0x67AB	# <CJK>
0xB7E4	0x8702	# <CJK>
0xB7E5	0x5CF0	# <CJK>
0xB7E6	0x950B	# <CJK>
0xB7E7	0x98CE	# <CJK>
0xB7E8	0x75AF	# <CJK>
0xB7E9	0x70FD	# <CJK>
0xB7EA	0x9022	# <CJK>
0xB7EB	0x51AF	# <CJK>
0xB7EC	0x7F1D	# <CJK>
0xB7ED	0x8BBD	# <CJK>
0xB7EE	0x5949	# <CJK>
0xB7EF	0x51E4	# <CJK>
0xB7F0	0x4F5B	# <CJK>
0xB7F1	0x5426	# <CJK>
0xB7F2	0x592B	# <CJK>
0xB7F3	0x6577	# <CJK>
0xB7F4	0x80A4	# <CJK>
0xB7F5	0x5B75	# <CJK>
0xB7F6	0x6276	# <CJK>
0xB7F7	0x62C2	# <CJK>
0xB7F8	0x8F90	# <CJK>
0xB7F9	0x5E45	# <CJK>
0xB7FA	0x6C1F	# <CJK>
0xB7FB	0x7B26	# <CJK>
0xB7FC	0x4F0F	# <CJK>
0xB7FD	0x4FD8	# <CJK>
0xB7FE	0x670D	# <CJK>
0xB8A1	0x6D6E	# <CJK>
0xB8A2	0x6DAA	# <CJK>
0xB8A3	0x798F	# <CJK>
0xB8A4	0x88B1	# <CJK>
0xB8A5	0x5F17	# <CJK>
0xB8A6	0x752B	# <CJK>
0xB8A7	0x629A	# <CJK>
0xB8A8	0x8F85	# <CJK>
0xB8A9	0x4FEF	# <CJK>
0xB8AA	0x91DC	# <CJK>
0xB8AB	0x65A7	# <CJK>
0xB8AC	0x812F	# <CJK>
0xB8AD	0x8151	# <CJK>
0xB8AE	0x5E9C	# <CJK>
0xB8AF	0x8150	# <CJK>
0xB8B0	0x8D74	# <CJK>
0xB8B1	0x526F	# <CJK>
0xB8B2	0x8986	# <CJK>
0xB8B3	0x8D4B	# <CJK>
0xB8B4	0x590D	# <CJK>
0xB8B5	0x5085	# <CJK>
0xB8B6	0x4ED8	# <CJK>
0xB8B7	0x961C	# <CJK>
0xB8B8	0x7236	# <CJK>
0xB8B9	0x8179	# <CJK>
0xB8BA	0x8D1F	# <CJK>
0xB8BB	0x5BCC	# <CJK>
0xB8BC	0x8BA3	# <CJK>
0xB8BD	0x9644	# <CJK>
0xB8BE	0x5987	# <CJK>
0xB8BF	0x7F1A	# <CJK>
0xB8C0	0x5490	# <CJK>
0xB8C1	0x5676	# <CJK>
0xB8C2	0x560E	# <CJK>
0xB8C3	0x8BE5	# <CJK>
0xB8C4	0x6539	# <CJK>
0xB8C5	0x6982	# <CJK>
0xB8C6	0x9499	# <CJK>
0xB8C7	0x76D6	# <CJK>
0xB8C8	0x6E89	# <CJK>
0xB8C9	0x5E72	# <CJK>
0xB8CA	0x7518	# <CJK>
0xB8CB	0x6746	# <CJK>
0xB8CC	0x67D1	# <CJK>
0xB8CD	0x7AFF	# <CJK>
0xB8CE	0x809D	# <CJK>
0xB8CF	0x8D76	# <CJK>
0xB8D0	0x611F	# <CJK>
0xB8D1	0x79C6	# <CJK>
0xB8D2	0x6562	# <CJK>
0xB8D3	0x8D63	# <CJK>
0xB8D4	0x5188	# <CJK>
0xB8D5	0x521A	# <CJK>
0xB8D6	0x94A2	# <CJK>
0xB8D7	0x7F38	# <CJK>
0xB8D8	0x809B	# <CJK>
0xB8D9	0x7EB2	# <CJK>
0xB8DA	0x5C97	# <CJK>
0xB8DB	0x6E2F	# <CJK>
0xB8DC	0x6760	# <CJK>
0xB8DD	0x7BD9	# <CJK>
0xB8DE	0x768B	# <CJK>
0xB8DF	0x9AD8	# <CJK>
0xB8E0	0x818F	# <CJK>
0xB8E1	0x7F94	# <CJK>
0xB8E2	0x7CD5	# <CJK>
0xB8E3	0x641E	# <CJK>
0xB8E4	0x9550	# <CJK>
0xB8E5	0x7A3F	# <CJK>
0xB8E6	0x544A	# <CJK>
0xB8E7	0x54E5	# <CJK>
0xB8E8	0x6B4C	# <CJK>
0xB8E9	0x6401	# <CJK>
0xB8EA	0x6208	# <CJK>
0xB8EB	0x9E3D	# <CJK>
0xB8EC	0x80F3	# <CJK>
0xB8ED	0x7599	# <CJK>
0xB8EE	0x5272	# <CJK>
0xB8EF	0x9769	# <CJK>
0xB8F0	0x845B	# <CJK>
0xB8F1	0x683C	# <CJK>
0xB8F2	0x86E4	# <CJK>
0xB8F3	0x9601	# <CJK>
0xB8F4	0x9694	# <CJK>
0xB8F5	0x94EC	# <CJK>
0xB8F6	0x4E2A	# <CJK>
0xB8F7	0x5404	# <CJK>
0xB8F8	0x7ED9	# <CJK>
0xB8F9	0x6839	# <CJK>
0xB8FA	0x8DDF	# <CJK>
0xB8FB	0x8015	# <CJK>
0xB8FC	0x66F4	# <CJK>
0xB8FD	0x5E9A	# <CJK>
0xB8FE	0x7FB9	# <CJK>
0xB9A1	0x57C2	# <CJK>
0xB9A2	0x803F	# <CJK>
0xB9A3	0x6897	# <CJK>
0xB9A4	0x5DE5	# <CJK>
0xB9A5	0x653B	# <CJK>
0xB9A6	0x529F	# <CJK>
0xB9A7	0x606D	# <CJK>
0xB9A8	0x9F9A	# <CJK>
0xB9A9	0x4F9B	# <CJK>
0xB9AA	0x8EAC	# <CJK>
0xB9AB	0x516C	# <CJK>
0xB9AC	0x5BAB	# <CJK>
0xB9AD	0x5F13	# <CJK>
0xB9AE	0x5DE9	# <CJK>
0xB9AF	0x6C5E	# <CJK>
0xB9B0	0x62F1	# <CJK>
0xB9B1	0x8D21	# <CJK>
0xB9B2	0x5171	# <CJK>
0xB9B3	0x94A9	# <CJK>
0xB9B4	0x52FE	# <CJK>
0xB9B5	0x6C9F	# <CJK>
0xB9B6	0x82DF	# <CJK>
0xB9B7	0x72D7	# <CJK>
0xB9B8	0x57A2	# <CJK>
0xB9B9	0x6784	# <CJK>
0xB9BA	0x8D2D	# <CJK>
0xB9BB	0x591F	# <CJK>
0xB9BC	0x8F9C	# <CJK>
0xB9BD	0x83C7	# <CJK>
0xB9BE	0x5495	# <CJK>
0xB9BF	0x7B8D	# <CJK>
0xB9C0	0x4F30	# <CJK>
0xB9C1	0x6CBD	# <CJK>
0xB9C2	0x5B64	# <CJK>
0xB9C3	0x59D1	# <CJK>
0xB9C4	0x9F13	# <CJK>
0xB9C5	0x53E4	# <CJK>
0xB9C6	0x86CA	# <CJK>
0xB9C7	0x9AA8	# <CJK>
0xB9C8	0x8C37	# <CJK>
0xB9C9	0x80A1	# <CJK>
0xB9CA	0x6545	# <CJK>
0xB9CB	0x987E	# <CJK>
0xB9CC	0x56FA	# <CJK>
0xB9CD	0x96C7	# <CJK>
0xB9CE	0x522E	# <CJK>
0xB9CF	0x74DC	# <CJK>
0xB9D0	0x5250	# <CJK>
0xB9D1	0x5BE1	# <CJK>
0xB9D2	0x6302	# <CJK>
0xB9D3	0x8902	# <CJK>
0xB9D4	0x4E56	# <CJK>
0xB9D5	0x62D0	# <CJK>
0xB9D6	0x602A	# <CJK>
0xB9D7	0x68FA	# <CJK>
0xB9D8	0x5173	# <CJK>
0xB9D9	0x5B98	# <CJK>
0xB9DA	0x51A0	# <CJK>
0xB9DB	0x89C2	# <CJK>
0xB9DC	0x7BA1	# <CJK>
0xB9DD	0x9986	# <CJK>
0xB9DE	0x7F50	# <CJK>
0xB9DF	0x60EF	# <CJK>
0xB9E0	0x704C	# <CJK>
0xB9E1	0x8D2F	# <CJK>
0xB9E2	0x5149	# <CJK>
0xB9E3	0x5E7F	# <CJK>
0xB9E4	0x901B	# <CJK>
0xB9E5	0x7470	# <CJK>
0xB9E6	0x89C4	# <CJK>
0xB9E7	0x572D	# <CJK>
0xB9E8	0x7845	# <CJK>
0xB9E9	0x5F52	# <CJK>
0xB9EA	0x9F9F	# <CJK>
0xB9EB	0x95FA	# <CJK>
0xB9EC	0x8F68	# <CJK>
0xB9ED	0x9B3C	# <CJK>
0xB9EE	0x8BE1	# <CJK>
0xB9EF	0x7678	# <CJK>
0xB9F0	0x6842	# <CJK>
0xB9F1	0x67DC	# <CJK>
0xB9F2	0x8DEA	# <CJK>
0xB9F3	0x8D35	# <CJK>
0xB9F4	0x523D	# <CJK>
0xB9F5	0x8F8A	# <CJK>
0xB9F6	0x6EDA	# <CJK>
0xB9F7	0x68CD	# <CJK>
0xB9F8	0x9505	# <CJK>
0xB9F9	0x90ED	# <CJK>
0xB9FA	0x56FD	# <CJK>
0xB9FB	0x679C	# <CJK>
0xB9FC	0x88F9	# <CJK>
0xB9FD	0x8FC7	# <CJK>
0xB9FE	0x54C8	# <CJK>
0xBAA1	0x9AB8	# <CJK>
0xBAA2	0x5B69	# <CJK>
0xBAA3	0x6D77	# <CJK>
0xBAA4	0x6C26	# <CJK>
0xBAA5	0x4EA5	# <CJK>
0xBAA6	0x5BB3	# <CJK>
0xBAA7	0x9A87	# <CJK>
0xBAA8	0x9163	# <CJK>
0xBAA9	0x61A8	# <CJK>
0xBAAA	0x90AF	# <CJK>
0xBAAB	0x97E9	# <CJK>
0xBAAC	0x542B	# <CJK>
0xBAAD	0x6DB5	# <CJK>
0xBAAE	0x5BD2	# <CJK>
0xBAAF	0x51FD	# <CJK>
0xBAB0	0x558A	# <CJK>
0xBAB1	0x7F55	# <CJK>
0xBAB2	0x7FF0	# <CJK>
0xBAB3	0x64BC	# <CJK>
0xBAB4	0x634D	# <CJK>
0xBAB5	0x65F1	# <CJK>
0xBAB6	0x61BE	# <CJK>
0xBAB7	0x608D	# <CJK>
0xBAB8	0x710A	# <CJK>
0xBAB9	0x6C57	# <CJK>
0xBABA	0x6C49	# <CJK>
0xBABB	0x592F	# <CJK>
0xBABC	0x676D	# <CJK>
0xBABD	0x822A	# <CJK>
0xBABE	0x58D5	# <CJK>
0xBABF	0x568E	# <CJK>
0xBAC0	0x8C6A	# <CJK>
0xBAC1	0x6BEB	# <CJK>
0xBAC2	0x90DD	# <CJK>
0xBAC3	0x597D	# <CJK>
0xBAC4	0x8017	# <CJK>
0xBAC5	0x53F7	# <CJK>
0xBAC6	0x6D69	# <CJK>
0xBAC7	0x5475	# <CJK>
0xBAC8	0x559D	# <CJK>
0xBAC9	0x8377	# <CJK>
0xBACA	0x83CF	# <CJK>
0xBACB	0x6838	# <CJK>
0xBACC	0x79BE	# <CJK>
0xBACD	0x548C	# <CJK>
0xBACE	0x4F55	# <CJK>
0xBACF	0x5408	# <CJK>
0xBAD0	0x76D2	# <CJK>
0xBAD1	0x8C89	# <CJK>
0xBAD2	0x9602	# <CJK>
0xBAD3	0x6CB3	# <CJK>
