#
# $FreeBSD$
#
#	Name:             GB2312-80 to Unicode table (complete, hex format)
#	Unicode version:  3.0
#	Table version:    1.0
#	Table format:     Format A
#	Date:             1999 October 8
#	Author:           Ken Whistler <kenw@sybase.com>
#       Original authors: Glenn Adams, John H. Jenkin <jenkins@apple.com>
#
#	Copyright (c) 1991-1999 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on optical media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Unicode, Inc. hereby grants the right to freely use the information
#	supplied in this file in the creation of products supporting the
#	Unicode Standard, and to make copies of this file in any form for
#	internal or external distribution as long as this notice remains
#	attached.
#
#	General notes:
#
#	This table contains the datathe Unicode Consortium currently has on how
#       GB2312-80 characters map into Unicode.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the GB2312 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#')
#					The official names for Unicode characters U+4E00
#					to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#					where XXXX is the code point.  Including all these
#					names in this file increases its size substantially
#					and needlessly.  The token "<CJK>" is used for the
#					name of these characters.  If necessary, it can be
#					expanded algorithmically by a parser or editor.
#
#	The entries are in GB2312 order
#
#	The following algorithms can be used to change the hex form
#		of GB2312 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#		To change hex to kuten form, first subtract 0x2020.  Then
#			the high and low bytes correspond to the ku and ten of
#			the kuten form.  For example, 0x2121 -> 0x0101 -> 0101;
#			0x777E -> 0x575E -> 8794
#
#	Version history
#	1.0 version updates 0.0d2 version by correcting mapping for 0x212C
#             from U+2225 to U+2016.
#
#	Updated versions of this file may be found in:
#		<ftp://ftp.unicode.org/Public/MAPPINGS/>
#
#	Any comments or problems, contact <errata@unicode.orgm>
#	Please note that <errata@unicode.org> is an archival address;
#	notices will be checked, but do not expect an immediate response.
#
#
0x2121	0x3000	# IDEOGRAPHIC SPACE
0x3255	0x8231	# <CJK>
0x3256	0x4ED3	# <CJK>
0x3257	0x6CA7	# <CJK>
0x3258	0x85CF	# <CJK>
0x3259	0x64CD	# <CJK>
0x325A	0x7CD9	# <CJK>
0x325B	0x69FD	# <CJK>
0x325C	0x66F9	# <CJK>
0x325D	0x8349	# <CJK>
0x325E	0x5395	# <CJK>
0x325F	0x7B56	# <CJK>
0x3260	0x4FA7	# <CJK>
0x3261	0x518C	# <CJK>
0x3262	0x6D4B	# <CJK>
0x3263	0x5C42	# <CJK>
0x3264	0x8E6D	# <CJK>
0x3265	0x63D2	# <CJK>
0x3266	0x53C9	# <CJK>
0x3267	0x832C	# <CJK>
0x3268	0x8336	# <CJK>
0x3269	0x67E5	# <CJK>
0x326A	0x78B4	# <CJK>
0x326B	0x643D	# <CJK>
0x326C	0x5BDF	# <CJK>
0x326D	0x5C94	# <CJK>
0x326E	0x5DEE	# <CJK>
0x326F	0x8BE7	# <CJK>
0x3270	0x62C6	# <CJK>
0x3271	0x67F4	# <CJK>
0x3272	0x8C7A	# <CJK>
0x3273	0x6400	# <CJK>
0x3274	0x63BA	# <CJK>
0x3275	0x8749	# <CJK>
0x3276	0x998B	# <CJK>
0x3277	0x8C17	# <CJK>
0x3278	0x7F20	# <CJK>
0x3279	0x94F2	# <CJK>
0x327A	0x4EA7	# <CJK>
0x327B	0x9610	# <CJK>
0x327C	0x98A4	# <CJK>
0x327D	0x660C	# <CJK>
0x327E	0x7316	# <CJK>
0x3321	0x573A	# <CJK>
0x3322	0x5C1D	# <CJK>
0x3323	0x5E38	# <CJK>
0x3324	0x957F	# <CJK>
0x3325	0x507F	# <CJK>
0x3326	0x80A0	# <CJK>
0x3327	0x5382	# <CJK>
0x3328	0x655E	# <CJK>
0x3329	0x7545	# <CJK>
0x332A	0x5531	# <CJK>
0x332B	0x5021	# <CJK>
0x332C	0x8D85	# <CJK>
0x332D	0x6284	# <CJK>
0x332E	0x949E	# <CJK>
0x332F	0x671D	# <CJK>
0x3330	0x5632	# <CJK>
0x3331	0x6F6E	# <CJK>
0x3332	0x5DE2	# <CJK>
0x3333	0x5435	# <CJK>
0x3334	0x7092	# <CJK>
0x3335	0x8F66	# <CJK>
0x3336	0x626F	# <CJK>
0x3337	0x64A4	# <CJK>
0x3338	0x63A3	# <CJK>
0x3339	0x5F7B	# <CJK>
0x333A	0x6F88	# <CJK>
0x333B	0x90F4	# <CJK>
0x333C	0x81E3	# <CJK>
0x333D	0x8FB0	# <CJK>
0x333E	0x5C18	# <CJK>
0x333F	0x6668	# <CJK>
0x3340	0x5FF1	# <CJK>
0x3341	0x6C89	# <CJK>
0x3342	0x9648	# <CJK>
0x3343	0x8D81	# <CJK>
0x3344	0x886C	# <CJK>
0x3345	0x6491	# <CJK>
0x3346	0x79F0	# <CJK>
0x3347	0x57CE	# <CJK>
0x3348	0x6A59	# <CJK>
0x3349	0x6210	# <CJK>
0x334A	0x5448	# <CJK>
0x334B	0x4E58	# <CJK>
0x334C	0x7A0B	# <CJK>
0x334D	0x60E9	# <CJK>
0x334E	0x6F84	# <CJK>
0x334F	0x8BDA	# <CJK>
0x3350	0x627F	# <CJK>
0x3351	0x901E	# <CJK>
0x3352	0x9A8B	# <CJK>
0x3353	0x79E4	# <CJK>
0x3354	0x5403	# <CJK>
0x3355	0x75F4	# <CJK>
0x3356	0x6301	# <CJK>
0x3357	0x5319	# <CJK>
0x3358	0x6C60	# <CJK>
0x3359	0x8FDF	# <CJK>
0x335A	0x5F1B	# <CJK>
0x335B	0x9A70	# <CJK>
0x335C	0x803B	# <CJK>
0x335D	0x9F7F	# <CJK>
0x335E	0x4F88	# <CJK>
0x335F	0x5C3A	# <CJK>
0x3360	0x8D64	# <CJK>
0x3361	0x7FC5	# <CJK>
0x3362	0x65A5	# <CJK>
0x3363	0x70BD	# <CJK>
0x3364	0x5145	# <CJK>
0x3365	0x51B2	# <CJK>
0x3366	0x866B	# <CJK>
0x3367	0x5D07	# <CJK>
0x3368	0x5BA0	# <CJK>
0x3369	0x62BD	# <CJK>
0x336A	0x916C	# <CJK>
0x336B	0x7574	# <CJK>
0x336C	0x8E0C	# <CJK>
0x336D	0x7A20	# <CJK>
0x336E	0x6101	# <CJK>
0x336F	0x7B79	# <CJK>
0x3370	0x4EC7	# <CJK>
0x3371	0x7EF8	# <CJK>
0x3372	0x7785	# <CJK>
0x3373	0x4E11	# <CJK>
0x3374	0x81ED	# <CJK>
0x3375	0x521D	# <CJK>
0x3376	0x51FA	# <CJK>
0x3377	0x6A71	# <CJK>
0x3378	0x53A8	# <CJK>
0x3379	0x8E87	# <CJK>
0x337A	0x9504	# <CJK>
0x337B	0x96CF	# <CJK>
0x337C	0x6EC1	# <CJK>
0x337D	0x9664	# <CJK>
0x337E	0x695A	# <CJK>
0x3421	0x7840	# <CJK>
0x3422	0x50A8	# <CJK>
0x3423	0x77D7	# <CJK>
0x3424	0x6410	# <CJK>
0x3425	0x89E6	# <CJK>
0x3426	0x5904	# <CJK>
0x3427	0x63E3	# <CJK>
0x3428	0x5DDD	# <CJK>
0x3429	0x7A7F	# <CJK>
0x342A	0x693D	# <CJK>
0x342B	0x4F20	# <CJK>
0x342C	0x8239	# <CJK>
0x342D	0x5598	# <CJK>
0x342E	0x4E32	# <CJK>
0x342F	0x75AE	# <CJK>
0x3430	0x7A97	# <CJK>
0x3431	0x5E62	# <CJK>
0x3432	0x5E8A	# <CJK>
0x3433	0x95EF	# <CJK>
0x3434	0x521B	# <CJK>
0x3435	0x5439	# <CJK>
0x3436	0x708A	# <CJK>
0x3437	0x6376	# <CJK>
0x3438	0x9524	# <CJK>
0x3439	0x5782	# <CJK>
0x343A	0x6625	# <CJK>
0x343B	0x693F	# <CJK>
0x343C	0x9187	# <CJK>
0x343D	0x5507	# <CJK>
0x343E	0x6DF3	# <CJK>
0x343F	0x7EAF	# <CJK>
0x3440	0x8822	# <CJK>
0x3441	0x6233	# <CJK>
0x3442	0x7EF0	# <CJK>
0x3443	0x75B5	# <CJK>
0x3444	0x8328	# <CJK>
0x3445	0x78C1	# <CJK>
0x3446	0x96CC	# <CJK>
0x3447	0x8F9E	# <CJK>
0x3448	0x6148	# <CJK>
0x3449	0x74F7	# <CJK>
0x344A	0x8BCD	# <CJK>
0x344B	0x6B64	# <CJK>
0x344C	0x523A	# <CJK>
0x344D	0x8D50	# <CJK>
0x344E	0x6B21	# <CJK>
0x344F	0x806A	# <CJK>
0x3450	0x8471	# <CJK>
0x3451	0x56F1	# <CJK>
0x3452	0x5306	# <CJK>
0x3453	0x4ECE	# <CJK>
0x3454	0x4E1B	# <CJK>
0x3455	0x51D1	# <CJK>
0x3456	0x7C97	# <CJK>
0x3457	0x918B	# <CJK>
0x3458	0x7C07	# <CJK>
0x3459	0x4FC3	# <CJK>
0x345A	0x8E7F	# <CJK>
0x345B	0x7BE1	# <CJK>
0x345C	0x7A9C	# <CJK>
0x345D	0x6467	# <CJK>
0x345E	0x5D14	# <CJK>
0x345F	0x50AC	# <CJK>
0x3460	0x8106	# <CJK>
0x3461	0x7601	# <CJK>
0x3462	0x7CB9	# <CJK>
0x3463	0x6DEC	# <CJK>
0x3464	0x7FE0	# <CJK>
0x3465	0x6751	# <CJK>
0x3466	0x5B58	# <CJK>
0x3467	0x5BF8	# <CJK>
0x3468	0x78CB	# <CJK>
0x3469	0x64AE	# <CJK>
0x346A	0x6413	# <CJK>
0x346B	0x63AA	# <CJK>
0x346C	0x632B	# <CJK>
0x346D	0x9519	# <CJK>
0x346E	0x642D	# <CJK>
0x346F	0x8FBE	# <CJK>
0x3470	0x7B54	# <CJK>
0x3471	0x7629	# <CJK>
0x3472	0x6253	# <CJK>
0x3473	0x5927	# <CJK>
0x3474	0x5446	# <CJK>
0x3475	0x6B79	# <CJK>
0x3476	0x50A3	# <CJK>
0x3477	0x6234	# <CJK>
0x3478	0x5E26	# <CJK>
0x3479	0x6B86	# <CJK>
0x347A	0x4EE3	# <CJK>
0x347B	0x8D37	# <CJK>
0x347C	0x888B	# <CJK>
0x347D	0x5F85	# <CJK>
0x347E	0x902E	# <CJK>
0x3521	0x6020	# <CJK>
0x3522	0x803D	# <CJK>
0x3523	0x62C5	# <CJK>
0x3524	0x4E39	# <CJK>
0x3525	0x5355	# <CJK>
0x3526	0x90F8	# <CJK>
0x3527	0x63B8	# <CJK>
0x3528	0x80C6	# <CJK>
0x3529	0x65E6	# <CJK>
0x352A	0x6C2E	# <CJK>
0x352B	0x4F46	# <CJK>
0x352C	0x60EE	# <CJK>
0x352D	0x6DE1	# <CJK>
0x352E	0x8BDE	# <CJK>
0x352F	0x5F39	# <CJK>
0x3530	0x86CB	# <CJK>
0x3531	0x5F53	# <CJK>
0x3532	0x6321	# <CJK>
0x3533	0x515A	# <CJK>
0x3534	0x8361	# <CJK>
0x3535	0x6863	# <CJK>
0x3536	0x5200	# <CJK>
0x3537	0x6363	# <CJK>
0x3538	0x8E48	# <CJK>
0x3539	0x5012	# <CJK>
0x353A	0x5C9B	# <CJK>
0x353B	0x7977	# <CJK>
0x353C	0x5BFC	# <CJK>
0x353D	0x5230	# <CJK>
0x353E	0x7A3B	# <CJK>
0x353F	0x60BC	# <CJK>
0x3540	0x9053	# <CJK>
0x3541	0x76D7	# <CJK>
0x3542	0x5FB7	# <CJK>
0x3543	0x5F97	# <CJK>
0x3544	0x7684	# <CJK>
0x3545	0x8E6C	# <CJK>
0x3546	0x706F	# <CJK>
0x3547	0x767B	# <CJK>
0x3548	0x7B49	# <CJK>
0x3549	0x77AA	# <CJK>
0x354A	0x51F3	# <CJK>
0x354B	0x9093	# <CJK>
0x354C	0x5824	# <CJK>
0x354D	0x4F4E	# <CJK>
0x354E	0x6EF4	# <CJK>
0x354F	0x8FEA	# <CJK>
0x3550	0x654C	# <CJK>
0x3551	0x7B1B	# <CJK>
0x3552	0x72C4	# <CJK>
0x3553	0x6DA4	# <CJK>
0x3554	0x7FDF	# <CJK>
0x3555	0x5AE1	# <CJK>
0x3556	0x62B5	# <CJK>
0x3557	0x5E95	# <CJK>
0x3558	0x5730	# <CJK>
0x3559	0x8482	# <CJK>
0x355A	0x7B2C	# <CJK>
0x355B	0x5E1D	# <CJK>
0x355C	0x5F1F	# <CJK>
0x355D	0x9012	# <CJK>
0x355E	0x7F14	# <CJK>
0x355F	0x98A0	# <CJK>
0x3560	0x6382	# <CJK>
0x3561	0x6EC7	# <CJK>
0x3562	0x7898	# <CJK>
0x3563	0x70B9	# <CJK>
0x3564	0x5178	# <CJK>
0x3565	0x975B	# <CJK>
0x3566	0x57AB	# <CJK>
0x3567	0x7535	# <CJK>
0x3568	0x4F43	# <CJK>
0x3569	0x7538	# <CJK>
0x356A	0x5E97	# <CJK>
0x356B	0x60E6	# <CJK>
0x356C	0x5960	# <CJK>
0x356D	0x6DC0	# <CJK>
0x356E	0x6BBF	# <CJK>
0x356F	0x7889	# <CJK>
0x3570	0x53FC	# <CJK>
0x3571	0x96D5	# <CJK>
0x3572	0x51CB	# <CJK>
0x3573	0x5201	# <CJK>
0x3574	0x6389	# <CJK>
0x3575	0x540A	# <CJK>
0x3576	0x9493	# <CJK>
0x3577	0x8C03	# <CJK>
0x3578	0x8DCC	# <CJK>
0x3579	0x7239	# <CJK>
0x357A	0x789F	# <CJK>
0x357B	0x8776	# <CJK>
0x357C	0x8FED	# <CJK>
0x357D	0x8C0D	# <CJK>
0x357E	0x53E0	# <CJK>
0x3621	0x4E01	# <CJK>
0x3622	0x76EF	# <CJK>
0x3623	0x53EE	# <CJK>
0x3624	0x9489	# <CJK>
0x3625	0x9876	# <CJK>
0x3626	0x9F0E	# <CJK>
0x3627	0x952D	# <CJK>
0x3628	0x5B9A	# <CJK>
0x3629	0x8BA2	# <CJK>
0x362A	0x4E22	# <CJK>
0x362B	0x4E1C	# <CJK>
0x362C	0x51AC	# <CJK>
0x362D	0x8463	# <CJK>
0x362E	0x61C2	# <CJK>
0x362F	0x52A8	# <CJK>
0x3630	0x680B	# <CJK>
0x3631	0x4F97	# <CJK>
0x3632	0x606B	# <CJK>
0x3633	0x51BB	# <CJK>
0x3634	0x6D1E	# <CJK>
0x3635	0x515C	# <CJK>
0x3636	0x6296	# <CJK>
0x3637	0x6597	# <CJK>
0x3638	0x9661	# <CJK>
0x3639	0x8C46	# <CJK>
0x363A	0x9017	# <CJK>
0x363B	0x75D8	# <CJK>
0x363C	0x90FD	# <CJK>
0x363D	0x7763	# <CJK>
0x363E	0x6BD2	# <CJK>
0x363F	0x728A	# <CJK>
0x3640	0x72EC	# <CJK>
0x3641	0x8BFB	# <CJK>
0x3642	0x5835	# <CJK>
0x3643	0x7779	# <CJK>
0x3644	0x8D4C	# <CJK>
0x3645	0x675C	# <CJK>
0x3646	0x9540	# <CJK>
0x3647	0x809A	# <CJK>
0x3648	0x5EA6	# <CJK>
0x3649	0x6E21	# <CJK>
0x364A	0x5992	# <CJK>
0x364B	0x7AEF	# <CJK>
0x364C	0x77ED	# <CJK>
0x364D	0x953B	# <CJK>
0x364E	0x6BB5	# <CJK>
0x364F	0x65AD	# <CJK>
0x3650	0x7F0E	# <CJK>
0x3651	0x5806	# <CJK>
0x3652	0x5151	# <CJK>
0x3653	0x961F	# <CJK>
0x3654	0x5BF9	# <CJK>
0x3655	0x58A9	# <CJK>
0x3656	0x5428	# <CJK>
0x3657	0x8E72	# <CJK>
0x3658	0x6566	# <CJK>
0x3659	0x987F	# <CJK>
0x365A	0x56E4	# <CJK>
0x365B	0x949D	# <CJK>
0x365C	0x76FE	# <CJK>
0x365D	0x9041	# <CJK>
0x365E	0x6387	# <CJK>
0x365F	0x54C6	# <CJK>
0x3660	0x591A	# <CJK>
0x3661	0x593A	# <CJK>
0x3662	0x579B	# <CJK>
0x3663	0x8EB2	# <CJK>
0x3664	0x6735	# <CJK>
0x3665	0x8DFA	# <CJK>
0x3666	0x8235	# <CJK>
0x3667	0x5241	# <CJK>
0x3668	0x60F0	# <CJK>
0x3669	0x5815	# <CJK>
0x366A	0x86FE	# <CJK>
0x366B	0x5CE8	# <CJK>
0x366C	0x9E45	# <CJK>
0x366D	0x4FC4	# <CJK>
0x366E	0x989D	# <CJK>
0x366F	0x8BB9	# <CJK>
0x3670	0x5A25	# <CJK>
0x3671	0x6076	# <CJK>
0x3672	0x5384	# <CJK>
0x3673	0x627C	# <CJK>
0x3674	0x904F	# <CJK>
0x3675	0x9102	# <CJK>
0x3676	0x997F	# <CJK>
0x3677	0x6069	# <CJK>
0x3678	0x800C	# <CJK>
0x3679	0x513F	# <CJK>
0x367A	0x8033	# <CJK>
0x367B	0x5C14	# <CJK>
0x367C	0x9975	# <CJK>
0x367D	0x6D31	# <CJK>
0x367E	0x4E8C	# <CJK>
0x3721	0x8D30	# <CJK>
0x3722	0x53D1	# <CJK>
0x3723	0x7F5A	# <CJK>
0x3724	0x7B4F	# <CJK>
0x3725	0x4F10	# <CJK>
0x3726	0x4E4F	# <CJK>
0x3727	0x9600	# <CJK>
0x3728	0x6CD5	# <CJK>
0x3729	0x73D0	# <CJK>
0x372A	0x85E9	# <CJK>
0x372B	0x5E06	# <CJK>
0x372C	0x756A	# <CJK>
0x372D	0x7FFB	# <CJK>
0x372E	0x6A0A	# <CJK>
0x372F	0x77FE	# <CJK>
0x3730	0x9492	# <CJK>
0x3731	0x7E41	# <CJK>
0x3732	0x51E1	# <CJK>
0x3733	0x70E6	# <CJK>
0x3734	0x53CD	# <CJK>
0x3735	0x8FD4	# <CJK>
0x3736	0x8303	# <CJK>
0x3737	0x8D29	# <CJK>
0x3738	0x72AF	# <CJK>
0x3739	0x996D	# <CJK>
0x373A	0x6CDB	# <CJK>
0x373B	0x574A	# <CJK>
0x373C	0x82B3	# <CJK>
0x373D	0x65B9	# <CJK>
0x373E	0x80AA	# <CJK>
0x373F	0x623F	# <CJK>
0x3740	0x9632	# <CJK>
0x3741	0x59A8	# <CJK>
0x3742	0x4EFF	# <CJK>
0x3743	0x8BBF	# <CJK>
0x3744	0x7EBA	# <CJK>
0x3745	0x653E	# <CJK>
0x3746	0x83F2	# <CJK>
0x3747	0x975E	# <CJK>
0x3748	0x5561	# <CJK>
0x3749	0x98DE	# <CJK>
0x374A	0x80A5	# <CJK>
0x374B	0x532A	# <CJK>
0x374C	0x8BFD	# <CJK>
0x374D	0x5420	# <CJK>
0x374E	0x80BA	# <CJK>
0x374F	0x5E9F	# <CJK>
0x3750	0x6CB8	# <CJK>
0x3751	0x8D39	# <CJK>
0x3752	0x82AC	# <CJK>
0x3753	0x915A	# <CJK>
0x3754	0x5429	# <CJK>
0x3755	0x6C1B	# <CJK>
0x3756	0x5206	# <CJK>
0x3757	0x7EB7	# <CJK>
0x3758	0x575F	# <CJK>
0x3759	0x711A	# <CJK>
0x375A	0x6C7E	# <CJK>
0x375B	0x7C89	# <CJK>
0x375C	0x594B	# <CJK>
0x375D	0x4EFD	# <CJK>
0x375E	0x5FFF	# <CJK>
0x375F	0x6124	# <CJK>
0x3760	0x7CAA	# <CJK>
0x3761	0x4E30	# <CJK>
0x3762	0x5C01	# <CJK>
0x3763	0x67AB	# <CJK>
0x3764	0x8702	# <CJK>
0x3765	0x5CF0	# <CJK>
0x3766	0x950B	# <CJK>
0x3767	0x98CE	# <CJK>
0x3768	0x75AF	# <CJK>
0x3769	0x70FD	# <CJK>
0x376A	0x9022	# <CJK>
0x376B	0x51AF	# <CJK>
0x376C	0x7F1D	# <CJK>
0x376D	0x8BBD	# <CJK>
0x376E	0x5949	# <CJK>
0x376F	0x51E4	# <CJK>
0x3770	0x4F5B	# <CJK>
0x3771	0x5426	# <CJK>
0x3772	0x592B	# <CJK>
0x3773	0x6577	# <CJK>
0x3774	0x80A4	# <CJK>
0x3775	0x5B75	# <CJK>
0x3776	0x6276	# <CJK>
0x3777	0x62C2	# <CJK>
0x3778	0x8F90	# <CJK>
0x3779	0x5E45	# <CJK>
0x377A	0x6C1F	# <CJK>
0x377B	0x7B26	# <CJK>
0x377C	0x4F0F	# <CJK>
0x377D	0x4FD8	# <CJK>
0x377E	0x670D	# <CJK>
0x3821	0x6D6E	# <CJK>
0x3822	0x6DAA	# <CJK>
0x3823	0x798F	# <CJK>
0x3824	0x88B1	# <CJK>
0x3825	0x5F17	# <CJK>
0x3826	0x752B	# <CJK>
0x3827	0x629A	# <CJK>
0x3828	0x8F85	# <CJK>
0x3829	0x4FEF	# <CJK>
0x382A	0x91DC	# <CJK>
0x382B	0x65A7	# <CJK>
0x382C	0x812F	# <CJK>
0x382D	0x8151	# <CJK>
0x382E	0x5E9C	# <CJK>
0x382F	0x8150	# <CJK>
0x3830	0x8D74	# <CJK>
0x3831	0x526F	# <CJK>
0x3832	0x8986	# <CJK>
0x3833	0x8D4B	# <CJK>
0x3834	0x590D	# <CJK>
0x3835	0x5085	# <CJK>
0x3836	0x4ED8	# <CJK>
0x3837	0x961C	# <CJK>
0x3838	0x7236	# <CJK>
0x3839	0x8179	# <CJK>
0x383A	0x8D1F	# <CJK>
0x383B	0x5BCC	# <CJK>
0x383C	0x8BA3	# <CJK>
0x383D	0x9644	# <CJK>
0x383E	0x5987	# <CJK>
0x383F	0x7F1A	# <CJK>
0x3840	0x5490	# <CJK>
0x3841	0x5676	# <CJK>
0x3842	0x560E	# <CJK>
0x3843	0x8BE5	# <CJK>
0x3844	0x6539	# <CJK>
0x3845	0x6982	# <CJK>
0x3846	0x9499	# <CJK>
0x3847	0x76D6	# <CJK>
0x3848	0x6E89	# <CJK>
0x3849	0x5E72	# <CJK>
0x384A	0x7518	# <CJK>
0x384B	0x6746	# <CJK>
0x384C	0x67D1	# <CJK>
0x384D	0x7AFF	# <CJK>
0x384E	0x809D	# <CJK>
0x384F	0x8D76	# <CJK>
0x3850	0x611F	# <CJK>
0x3851	0x79C6	# <CJK>
0x3852	0x6562	# <CJK>
0x3853	0x8D63	# <CJK>
0x3854	0x5188	# <CJK>
0x3855	0x521A	# <CJK>
0x3856	0x94A2	# <CJK>
0x3857	0x7F38	# <CJK>
0x3858	0x809B	# <CJK>
0x3859	0x7EB2	# <CJK>
0x385A	0x5C97	# <CJK>
0x385B	0x6E2F	# <CJK>
0x385C	0x6760	# <CJK>
0x385D	0x7BD9	# <CJK>
0x385E	0x768B	# <CJK>
0x385F	0x9AD8	# <CJK>
0x3860	0x818F	# <CJK>
0x3861	0x7F94	# <CJK>
0x3862	0x7CD5	# <CJK>
0x3863	0x641E	# <CJK>
0x3864	0x9550	# <CJK>
0x3865	0x7A3F	# <CJK>
0x3866	0x544A	# <CJK>
0x3867	0x54E5	# <CJK>
0x3868	0x6B4C	# <CJK>
0x3869	0x6401	# <CJK>
0x386A	0x6208	# <CJK>
0x386B	0x9E3D	# <CJK>
0x386C	0x80F3	# <CJK>
0x386D	0x7599	# <CJK>
0x386E	0x5272	# <CJK>
0x386F	0x9769	# <CJK>
0x3870	0x845B	# <CJK>
0x3871	0x683C	# <CJK>
0x3872	0x86E4	# <CJK>
0x3873	0x9601	# <CJK>
0x3874	0x9694	# <CJK>
0x3875	0x94EC	# <CJK>
0x3876	0x4E2A	# <CJK>
0x3877	0x5404	# <CJK>
0x3878	0x7ED9	# <CJK>
0x3879	0x6839	# <CJK>
0x387A	0x8DDF	# <CJK>
0x387B	0x8015	# <CJK>
0x387C	0x66F4	# <CJK>
0x387D	0x5E9A	# <CJK>
0x387E	0x7FB9	# <CJK>
0x3921	0x57C2	# <CJK>
0x3922	0x803F	# <CJK>
0x3923	0x6897	# <CJK>
0x3924	0x5DE5	# <CJK>
0x3925	0x653B	# <CJK>
0x3926	0x529F	# <CJK>
0x3927	0x606D	# <CJK>
0x3928	0x9F9A	# <CJK>
0x3929	0x4F9B	# <CJK>
0x392A	0x8EAC	# <CJK>
0x392B	0x516C	# <CJK>
0x392C	0x5BAB	# <CJK>
0x392D	0x5F13	# <CJK>
0x392E	0x5DE9	# <CJK>
0x392F	0x6C5E	# <CJK>
0x3930	0x62F1	# <CJK>
0x3931	0x8D21	# <CJK>
0x3932	0x5171	# <CJK>
0x3933	0x94A9	# <CJK>
0x3934	0x52FE	# <CJK>
0x3935	0x6C9F	# <CJK>
0x3936	0x82DF	# <CJK>
0x3937	0x72D7	# <CJK>
0x3938	0x57A2	# <CJK>
0x3939	0x6784	# <CJK>
0x393A	0x8D2D	# <CJK>
0x393B	0x591F	# <CJK>
0x393C	0x8F9C	# <CJK>
0x393D	0x83C7	# <CJK>
0x393E	0x5495	# <CJK>
0x393F	0x7B8D	# <CJK>
0x3940	0x4F30	# <CJK>
0x3941	0x6CBD	# <CJK>
0x3942	0x5B64	# <CJK>
0x3943	0x59D1	# <CJK>
0x3944	0x9F13	# <CJK>
0x3945	0x53E4	# <CJK>
0x3946	0x86CA	# <CJK>
0x3947	0x9AA8	# <CJK>
0x3948	0x8C37	# <CJK>
0x3949	0x80A1	# <CJK>
0x394A	0x6545	# <CJK>
0x394B	0x987E	# <CJK>
0x394C	0x56FA	# <CJK>
0x394D	0x96C7	# <CJK>
0x394E	0x522E	# <CJK>
0x394F	0x74DC	# <CJK>
0x3950	0x5250	# <CJK>
0x3951	0x5BE1	# <CJK>
0x3952	0x6302	# <CJK>
0x3953	0x8902	# <CJK>
0x3954	0x4E56	# <CJK>
0x3955	0x62D0	# <CJK>
0x3956	0x602A	# <CJK>
0x3957	0x68FA	# <CJK>
0x3958	0x5173	# <CJK>
0x3959	0x5B98	# <CJK>
0x395A	0x51A0	# <CJK>
0x395B	0x89C2	# <CJK>
0x395C	0x7BA1	# <CJK>
0x395D	0x9986	# <CJK>
0x395E	0x7F50	# <CJK>
0x395F	0x60EF	# <CJK>
0x3960	0x704C	# <CJK>
0x3961	0x8D2F	# <CJK>
0x3962	0x5149	# <CJK>
0x3963	0x5E7F	# <CJK>
0x3964	0x901B	# <CJK>
0x3965	0x7470	# <CJK>
0x3966	0x89C4	# <CJK>
0x3967	0x572D	# <CJK>
0x3968	0x7845	# <CJK>
0x3969	0x5F52	# <CJK>
0x396A	0x9F9F	# <CJK>
0x396B	0x95FA	# <CJK>
0x396C	0x8F68	# <CJK>
0x396D	0x9B3C	# <CJK>
0x396E	0x8BE1	# <CJK>
0x396F	0x7678	# <CJK>
0x3970	0x6842	# <CJK>
0x3971	0x67DC	# <CJK>
0x3972	0x8DEA	# <CJK>
0x3973	0x8D35	# <CJK>
0x3974	0x523D	# <CJK>
0x3975	0x8F8A	# <CJK>
0x3976	0x6EDA	# <CJK>
0x3977	0x68CD	# <CJK>
0x3978	0x9505	# <CJK>
0x3979	0x90ED	# <CJK>
0x397A	0x56FD	# <CJK>
0x397B	0x679C	# <CJK>
0x397C	0x88F9	# <CJK>
0x397D	0x8FC7	# <CJK>
0x397E	0x54C8	# <CJK>
0x3A21	0x9AB8	# <CJK>
0x3A22	0x5B69	# <CJK>
0x3A23	0x6D77	# <CJK>
0x3A24	0x6C26	# <CJK>
0x3A25	0x4EA5	# <CJK>
0x3A26	0x5BB3	# <CJK>
0x3A27	0x9A87	# <CJK>
0x3A28	0x9163	# <CJK>
0x3A29	0x61A8	# <CJK>
0x3A2A	0x90AF	# <CJK>
0x3A2B	0x97E9	# <CJK>
0x3A2C	0x542B	# <CJK>
0x3A2D	0x6DB5	# <CJK>
0x3A2E	0x5BD2	# <CJK>
0x3A2F	0x51FD	# <CJK>
0x3A30	0x558A	# <CJK>
0x3A31	0x7F55	# <CJK>
0x3A32	0x7FF0	# <CJK>
0x3A33	0x64BC	# <CJK>
0x3A34	0x634D	# <CJK>
